Sample,Specimen.ID,Repeat.or.New.Specimen.,Shipment,Predator,Location,Month,Season,Year,Sex,Marker,Stomach.Goo,Intestinal.Goo,Location.in.body,X,Fish,Cephalopod,Shrimp,Polychaete,Other,Tooth_age
WADE-003-136,PH22SH005-F,New,3,ringed seal,Shishmaref,OCT,Fall,2022,F,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,2
WADE-003-131,EB24GAM020-F,New,3,bearded seal,Gambell,MAY,Spring,2024,M,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,NA
WADE-003-004,2023295,Replacement,2,beluga whale,Cook Inlet,OCT,Fall,2023,F,12S,Yes,no,stomach,No,no,no,no,Yes,NA,NA
WADE-003-137,PH22SH015-F,New,3,ringed seal,Shishmaref,OCT,Fall,2022,M,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,15
WADE-003-137,PH22SH015-F,New,3,ringed seal,Shishmaref,OCT,Fall,2022,M,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,15
WADE-003-031,DL20OME001,Replacement,2,beluga whale,Nome,SEP,Fall,2020,M,12S,Yes,no,,No,Yes,no,Yes,Yes,"Echiurid, amphipod, gastropod, bivalve",NA
WADE-003-031,DL20OME001,Replacement,2,beluga whale,Nome,SEP,Fall,2020,M,12S,Yes,no,stomach,No,Yes,no,Yes,Yes,"Echiurid, amphipod, gastropod, bivalve",NA
WADE-003-114,PH22SH015-S,New,3,ringed seal,Shishmaref,OCT,Fall,2022,M,12S,Yes,no,stomach,No,Yes,no,no,no,no,15
WADE-003-104,EB23PH005-S,New,3,bearded seal,Point Hope,JUN,Summer,2023,F,12S,Yes,no,stomach,No,Yes,unk,unk,unk,unk,9
WADE-003-130,EB23SH009-F,New,3,bearded seal,Shishmaref,OCT,Fall,2023,M,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,0
WADE-003-134,EB24PH075-F,New,3,bearded seal,Point Hope,JUN,Summer,2024,F,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,NA
WADE-003-129,EB23SH008-F,New,3,bearded seal,Shishmaref,NOV,Fall,2023,F,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,0
WADE-003-114,PH22SH015-S,New,3,ringed seal,Shishmaref,OCT,Fall,2022,M,12S,Yes,no,stomach,No,Yes,no,no,no,no,15
